KM;LAT;LONG;ESTACA;TEXTO FORMATO GOOGLE;link para google maps
146,55;-23,192385;-45,865680;7327,500000;-45.8656795154271,-23.192385269799;https://www.google.com.br/maps/@-45.8656795154271,-23.192385269799,20z
146,56;-23,192428;-45,865766;7328,000000;-45.8657655350761,-23.1924279064467;https://www.google.com.br/maps/@-45.8657655350761,-23.1924279064467,20z
146,57;-23,192470;-45,865852;7328,500000;-45.8658517736548,-23.1924704394416;https://www.google.com.br/maps/@-45.8658517736548,-23.1924704394416,20z
146,58;-23,192513;-45,865938;7329,000000;-45.8659375204082,-23.1925128355102;https://www.google.com.br/maps/@-45.8659375204082,-23.1925128355102,20z
146,59;-23,192555;-45,866023;7329,500000;-45.8660230357143,-23.1925551671428;https://www.google.com.br/maps/@-45.8660230357143,-23.1925551671428,20z
146,60;-23,192598;-45,866109;7330,000000;-45.8661088850777,-23.1925979874611;https://www.google.com.br/maps/@-45.8661088850777,-23.1925979874611,20z
146,61;-23,192641;-45,866195;7330,500000;-45.8661948643523,-23.1926409978238;https://www.google.com.br/maps/@-45.8661948643523,-23.1926409978238,20z
146,62;-23,192684;-45,866280;7331,000000;-45.8662803591237,-23.1926841343814;https://www.google.com.br/maps/@-45.8662803591237,-23.1926841343814,20z
146,63;-23,192727;-45,866366;7331,500000;-45.8663657251031,-23.1927273044845;https://www.google.com.br/maps/@-45.8663657251031,-23.1927273044845,20z
146,64;-23,192770;-45,866451;7332,000000;-45.8664513921762,-23.1927703432124;https://www.google.com.br/maps/@-45.8664513921762,-23.1927703432124,20z
146,65;-23,192813;-45,866537;7332,500000;-45.8665371123834,-23.1928133587565;https://www.google.com.br/maps/@-45.8665371123834,-23.1928133587565,20z
146,66;-23,192856;-45,866623;7333,000000;-45.8666231948705,-23.1928563170984;https://www.google.com.br/maps/@-45.8666231948705,-23.1928563170984,20z
146,67;-23,192899;-45,866709;7333,500000;-45.8667093088601,-23.1928992704663;https://www.google.com.br/maps/@-45.8667093088601,-23.1928992704663,20z
146,68;-23,192942;-45,866795;7334,000000;-45.8667950073575,-23.1929424597927;https://www.google.com.br/maps/@-45.8667950073575,-23.1929424597927,20z
146,69;-23,192986;-45,866881;7334,500000;-45.8668806764767,-23.1929856577202;https://www.google.com.br/maps/@-45.8668806764767,-23.1929856577202,20z
146,70;-23,193029;-45,866966;7335,000000;-45.8669659510881,-23.193028953057;https://www.google.com.br/maps/@-45.8669659510881,-23.193028953057,20z
146,71;-23,193072;-45,867051;7335,500000;-45.8670512308377,-23.1930722671728;https://www.google.com.br/maps/@-45.8670512308377,-23.1930722671728,20z
146,72;-23,193116;-45,867137;7336,000000;-45.8671365449738,-23.1931157069633;https://www.google.com.br/maps/@-45.8671365449738,-23.1931157069633,20z
146,73;-23,193159;-45,867222;7336,500000;-45.8672219212903,-23.1931591741935;https://www.google.com.br/maps/@-45.8672219212903,-23.1931591741935,20z
146,74;-23,193203;-45,867308;7337,000000;-45.8673075180645,-23.1932027387097;https://www.google.com.br/maps/@-45.8673075180645,-23.1932027387097,20z
146,75;-23,193247;-45,867393;7337,500000;-45.8673927043478,-23.1932469804348;https://www.google.com.br/maps/@-45.8673927043478,-23.1932469804348,20z
146,76;-23,193292;-45,867477;7338,000000;-45.8674771608696,-23.1932924260869;https://www.google.com.br/maps/@-45.8674771608696,-23.1932924260869,20z
