ID do NOX;Latitude;Longitude
Dados de teste 180;-23,471322;-46,517531
Dados de teste 181;0;0
Dados de teste 182;-22,891627;-45,291073
Dados de teste 183;-23,470933;-46,517197
Dados de teste 184;0;0
Dados de teste 185;0;0
Dados de teste 186;0;0
Dados de teste 187;0;0
Dados de teste 188;0;0
Dados de teste 189;0;0
Dados de teste 190;0;0
Dados de teste 191;-23,352503;-46,181209
Dados de teste 192;0;0
Dados de teste 193;-23,493712;-46,552227
Dados de teste 194;0;0
Dados de teste 195;0;0
Dados de teste 196;0;0
Dados de teste 197;-22,495252;-44,569632
Dados de teste 198;-22,495362;-44,570022
Dados de teste 199;-23,270419;-45,967137
Dados de teste 200;-22,49507;-44,569162
Dados de teste 201;-23,500439;-46,560642
Dados de teste 202;0;0
Dados de teste 203;0;0
Dados de teste 204;-23,231421;-45,912761
Dados de teste 205;-22,486956;-44,550963
Dados de teste 206;-23,352117;-46,181663
Dados de teste 207;0;0
Dados de teste 208;0;0
Dados de teste 209;-23,401663;-46,311185
Dados de teste 210;0;0
Dados de teste 211;-22,518651;-44,708222
Dados de teste 212;0;0
Dados de teste 213;0;0
Dados de teste 214;0;0
Dados de teste 215;-22,457186;-44,414307
Dados de teste 216;-23,249128;-45,933747
Dados de teste 217;-23,442365;-46,441929
Dados de teste 218;0;0
Dados de teste 219;0;0
Dados de teste 220;0;0
Dados de teste 221;-23,271338;-45,968587
Dados de teste 222;-23,246238;-45,929011
Dados de teste 223;-23,441299;-46,442699
Dados de teste 224;0;0
Dados de teste 225;-23,214899;-45,894798
Dados de teste 226;0;0
Dados de teste 227;-22,49507;-44,569162
Dados de teste 228;-23,27042;-45,967145
Dados de teste 229;0;0
Dados de teste 230;-23,44218;-46,444148
Dados de teste 231;-23,469678;-46,512806
Dados de teste 232;-22,891761;-45,291286
Dados de teste 233;0;0
Dados de teste 234;-23,259399;-45,9543
Dados de teste 235;0;0
Dados de teste 236;-22,494956;-44,568884
Dados de teste 237;-23,441168;-46,442195
Dados de teste 238;0;0
Dados de teste 239;0;0
Dados de teste 240;-22,487159;-44,551053
Dados de teste 241;-22,49435;-44,56976
Dados de teste 242;-22,516814;-44,704988
Dados de teste 243;0;0
Dados de teste 244;-22,4666;-44,496899
Dados de teste 245;-23,255337;-45,943112
Dados de teste 246;-22,49421;-44,56955
Dados de teste 247;-22,4953;-44,569794
Dados de teste 248;-23,428105;-46,410572
Dados de teste 249;-23,271351;-45,96859
Dados de teste 250;-22,518226;-44,707477
Dados de teste 251;0;0
Dados de teste 252;-23,442025;-46,443907
Dados de teste 253;-23,270742;-45,967615
Dados de teste 254;-23,454597;-46,473022
Dados de teste 255;-23,440903;-46,442008
Dados de teste 256;0;0
Dados de teste 257;0;0
Dados de teste 258;0;0
Dados de teste 259;-23,260583;-45,949967
Dados de teste 260;-23,24114;-45,923472
Dados de teste 261;0;0
Dados de teste 262;-23,401714;-46,311432
Dados de teste 263;-23,364144;-46,225079
Dados de teste 264;0;0
Dados de teste 265;0;0
Dados de teste 266;0;0
Dados de teste 267;-23,401543;-46,310429
Dados de teste 268;0;0
Dados de teste 269;-22,462151;-44,478904
Dados de teste 270;0;0
Dados de teste 271;-22,466309;-44,499478
Dados de teste 272;-23,246239;-45,929025
Dados de teste 273;-23,364391;-46,225514
Dados de teste 274;0;0
Dados de teste 275;0;0
Dados de teste 276;-23,271044;-45,968122
Dados de teste 277;-23,364271;-46,22526
Dados de teste 278;0;0
Dados de teste 279;0;0
Dados de teste 280;-23,352507;-46,181578
Dados de teste 281;-23,352456;-46,200786
Dados de teste 282;-23,401508;-46,310677
Dados de teste 283;0;0
Dados de teste 284;0;0
Dados de teste 285;-22,495362;-44,570022
Dados de teste 286;0;0
Dados de teste 287;-23,401478;-46,310199
Dados de teste 288;0;0
Dados de teste 289;-23,437307;-46,430947
Dados de teste 290;0;0
Dados de teste 291;-23,352239;-46,198818
Dados de teste 292;-23,401617;-46,310924
Dados de teste 293;0;0
Dados de teste 294;-23,364128;-46,225085
Dados de teste 295;0;0
Dados de teste 296;0;0
Dados de teste 297;-23,395158;-46,289781
Dados de teste 298;0;0
Dados de teste 299;0;0
Dados de teste 300;-23,333204;-46,13917
Dados de teste 301;0;0
Dados de teste 302;-23,260556;-45,949399
Dados de teste 303;0;0
Dados de teste 304;-23,465944;-46,501611
Dados de teste 305;0;0
Dados de teste 306;0;0
Dados de teste 307;0;0
Dados de teste 308;-23,400574;-46,306803
Dados de teste 309;-23,401793;-46,311919
Dados de teste 310;-23,401761;-46,311684
Dados de teste 311;0;0
Dados de teste 312;-23,401623;-46,310922
Dados de teste 313;0;0
Dados de teste 314;0;0
Dados de teste 315;-23,167465;-45,815302
Dados de teste 316;0;0
Dados de teste 317;0;0
Dados de teste 318;0;0
Dados de teste 319;0;0
Dados de teste 320;-23,39019;-46,279506
Dados de teste 321;-23,401474;-46,310174
Dados de teste 322;0;0
Dados de teste 323;-23,232462;-45,914077
Dados de teste 324;0;0
Dados de teste 325;-23,215401;-45,895401
Dados de teste 326;0;0
Dados de teste 327;0;0
Dados de teste 328;-23,246239;-45,929025
Dados de teste 329;-23,401661;-46,311185
Dados de teste 330;-23,166933;-45,815483
Dados de teste 331;0;0
Dados de teste 332;-23,17354;-45,82761
Dados de teste 333;0;0
Dados de teste 334;0;0
Dados de teste 335;0;0
Dados de teste 336;-23,40067;-46,307527
Dados de teste 337;-23,427713;-46,409654
Dados de teste 338;0;0
Dados de teste 339;0;0
Dados de teste 340;-22,457252;-44,41466
Dados de teste 341;-23,400646;-46,307145
Dados de teste 342;0;0
Dados de teste 343;0;0
Dados de teste 344;-22,51852;-44,707974
Dados de teste 345;-23,401535;-46,310443
Dados de teste 346;-23,35179;-46,199913
Dados de teste 347;-22,489008;-44,554121
Dados de teste 348;-23,401596;-46,310712
Dados de teste 349;-23,255591;-45,943525
Dados de teste 350;-23,442325;-46,442599
Dados de teste 351;-23,198002;-45,875881
Dados de teste 352;-22,487563;-44,551935
Dados de teste 353;-22,487321;-44,550916
Dados de teste 354;-23,332285;-46,137333
Dados de teste 355;-23,197337;-45,876329
Dados de teste 356;-23,401675;-46,311452
Dados de teste 357;0;0
